invoice_number,invoice_amount,invoice_due_date,transaction_id,transaction_amount,transaction_date,transaction_note
INV-002,200.00,2024-07-15,002,200.00,2024-07-15,Payment for INV-002
INV-003,150.00,2024-08-01,004,150.00,2024-08-01,Payment for INV-003
INV-005,300.00,,005,300.00,2024-08-05,Payment for INV-005
INV-006,120.00,2024-08-15,006,120.00,2024-08-15,Payment for INV-006
INV-007,180.00,2024-08-20,007,180.00,2024-08-20,Payment for INV-007
INV-008,75.00,2024-08-25,008,75.00,2024-08-25,Payment for INV-008
INV-009,220.00,2024-09-01,009,220.00,2024-09-01,Payment for INV-009
INV-010,95.00,2024-09-05,010,95.00,2024-09-05,Payment for INV-010
INV-011,130.00,2024-09-10,011,130.00,2024-09-10,Payment for INV-011
INV-012,160.00,2024-09-15,012,160.00,2024-09-15,Payment for INV-012
INV-013,210.00,2024-09-20,013,210.00,2024-09-20,Payment for INV-013
INV-014,140.00,2024-09-25,014,140.00,2024-09-25,Payment for INV-014
INV-015,250.00,2024-10-01,015,250.00,2024-10-01,Payment for INV-015
INV-016,175.00,2024-10-05,016,175.00,2024-10-05,Payment for INV-016
INV-017,190.00,2024-10-10,017,190.00,2024-10-10,Payment for INV-017
INV-018,80.00,2024-10-15,018,80.00,2024-10-15,Payment for INV-018
INV-019,60.00,2024-10-20,019,60.00,2024-10-20,Payment for INV-019
INV-021,310.00,2024-11-01,021,310.00,2024-11-01,Payment for INV-021
INV-022,400.00,2024-11-05,022,400.00,2024-11-05,Payment for INV-022
INV-023,275.00,2024-11-10,023,275.00,2024-11-10,Payment for INV-023
INV-024,330.00,2024-11-15,024,330.00,2024-11-15,Payment for INV-024
INV-025,290.00,2024-11-20,025,290.00,2024-11-20,Payment for INV-025
INV-026,145.00,2024-11-25,026,145.00,2024-11-25,Payment for INV-026
INV-027,500.00,2024-12-01,027,500.00,2024-12-01,Payment for INV-027
INV-028,50.00,2024-12-05,028,50.00,2024-12-05,Payment for INV-028
INV-029,85.00,2024-12-10,029,85.00,2024-12-10,Payment for INV-029
INV-030,600.00,2024-12-15,030,600.00,2024-12-15,Payment for INV-030
INV-031,720.00,2024-12-20,031,720.00,2024-12-20,Payment for INV-031
INV-032,410.00,2024-12-25,032,410.00,2024-12-25,Payment for INV-032
INV-033,380.00,,033,380.00,2025-01-01,Payment for INV-033
INV-034,260.00,2025-01-05,034,260.00,2025-01-05,Payment for INV-034
INV-035,150.00,2025-01-10,035,150.00,2025-01-10,Payment for INV-035
INV-036,90.00,2025-01-15,036,90.00,2025-01-15,Payment for INV-036
INV-037,110.00,2025-01-20,037,110.00,2025-01-20,Payment for INV-037
INV-038,205.00,2025-01-25,038,205.00,2025-01-25,Payment for INV-038
INV-039,340.00,2025-02-01,039,340.00,2025-02-01,Payment for INV-039
INV-040,470.00,2025-02-05,040,470.00,2025-02-05,Payment for INV-040
INV-041,520.00,2025-02-10,041,520.00,2025-02-10,Payment for INV-041
INV-042,610.00,2025-02-15,042,610.00,2025-02-15,Payment for INV-042
INV-043,730.00,2025-02-20,043,730.00,2025-02-20,Payment for INV-043
INV-044,840.00,2025-02-25,044,840.00,2025-02-25,Payment for INV-044
INV-045,920.00,2025-03-01,045,920.00,2025-03-01,Payment for INV-045
INV-046,150.00,2025-03-05,046,150.00,2025-03-05,Payment for INV-046
INV-047,275.00,2025-03-10,047,275.00,2025-03-10,Payment for INV-047
INV-048,360.00,2025-03-15,048,360.00,2025-03-15,Payment for INV-048
